postcode,point_coordinates,street,city,state,lat,long
30540,POINT(4.6118 101.1135),Jabatan Tenaga Rakyat,Ipoh,Perak,4.6118,101.1135
30542,POINT(4.6118 101.1135),Pendaftar Kesatuan Sekerja,Ipoh,Perak,4.6118,101.1135
30546,POINT(4.6118 101.1135),Pejabat Rela Negeri,Ipoh,Perak,4.6118,101.1135
30548,POINT(4.6118 101.1135),Jabatan Hal Ehwal Orang Asli,Ipoh,Perak,4.6118,101.1135
30550,POINT(4.6118 101.1135),Jabatan Imigresen,Ipoh,Perak,4.6118,101.1135
30551,POINT(4.6118 101.1135),Jabatan Pendaftaran Negara,Ipoh,Perak,4.6118,101.1135
30552,POINT(4.6118 101.1135),Jabatan Pendaftar Pertubuhan,Ipoh,Perak,4.6118,101.1135
30554,POINT(4.6118 101.1135),Percetakan Nasional Bhd,Ipoh,Perak,4.6118,101.1135
30556,POINT(4.6118 101.1135),Jabatan Pertahanan Awam,Ipoh,Perak,4.6118,101.1135
30560,POINT(4.6118 101.1135),Ketua Polis Negeri,Ipoh,Perak,4.6118,101.1135
30564,POINT(4.6118 101.1135),Jabatan KebajIkan Masyarakat,Ipoh,Perak,4.6118,101.1135
30570,POINT(4.6118 101.1135),Jabatan Belia & Sukan,Ipoh,Perak,4.6118,101.1135
30576,POINT(4.6118 101.1135),Jabatan Tanah & Galian,Ipoh,Perak,4.6118,101.1135
30580,POINT(4.5874 101.07),Lembaga Air Perak,Ipoh,Perak,4.5874,101.07
30582,POINT(4.6043 101.0764),Jabatan Kerja Raya,Ipoh,Perak,4.6043,101.0764
30586,POINT(4.6118 101.1135),Hospital Ipoh,Ipoh,Perak,4.6118,101.1135
30590,POINT(4.6118 101.1135),Jabatan Kesihatan,Ipoh,Perak,4.6118,101.1135
30592,POINT(4.6118 101.1135),Jabatan Penilaian Harta,Ipoh,Perak,4.6118,101.1135
30594,POINT(4.6118 101.1135),Akauntan Negeri,Ipoh,Perak,4.6118,101.1135
30596,POINT(4.6118 101.1135),Jabatan Kastam & Eksais Di Raja,Ipoh,Perak,4.6118,101.1135
30600,POINT(4.6038 101.1205),Lembaga Hasil Dalam Negeri,Ipoh,Perak,4.6038,101.1205
30604,POINT(4.6118 101.1135),Jabatan PendidIkan,Ipoh,Perak,4.6118,101.1135
30606,POINT(4.6118 101.1135),Jabatan Kemajuan Masyarakat (Kemas),Ipoh,Perak,4.6118,101.1135
30609,POINT(4.6118 101.1135),Pejabat Mara Negeri,Ipoh,Perak,4.6118,101.1135
30610,POINT(4.6118 101.1135),Bahagian Pelesenan - Kementerian Penerangan,Ipoh,Perak,4.6118,101.1135
30612,POINT(4.6118 101.1135),Jabatan Penerangan,Ipoh,Perak,4.6118,101.1135
30614,POINT(4.36 100.9726),Jabatan Penyiaran,Ipoh,Perak,4.36,100.9726
30620,POINT(4.618 101.115),Jabatan Pengangkutan Jalan,Ipoh,Perak,4.618,101.115
30621,POINT(4.6118 101.1135),Keretapi Tanah Melayu Bhd,Ipoh,Perak,4.6118,101.1135
30622,POINT(4.6118 101.1135),Jabatan Pendaftar Perniagaan,Ipoh,Perak,4.6118,101.1135
30626,POINT(4.6118 101.1135),Jabatan Pengairan & Saliran,Ipoh,Perak,4.6118,101.1135
30628,POINT(4.6118 101.1135),Jabatan Perikanan,Ipoh,Perak,4.6118,101.1135
30630,POINT(4.606 101.1172),Institut PenyelidIkan Haiwan,Ipoh,Perak,4.606,101.1172
30632,POINT(4.7703 100.9308),Jabatan Pertanian,Ipoh,Perak,4.7703,100.9308
30634,POINT(4.6118 101.1135),Kementerian Pertahanan - 2 Briged Infanteri,Ipoh,Perak,4.6118,101.1135
30644,POINT(4.5987 101.0899),Majlis Bandaraya Ipoh,Ipoh,Perak,4.5987,101.0899
30646,POINT(4.6118 101.1135),Jabatan Perancang Bandar & Desa,Ipoh,Perak,4.6118,101.1135
30648,POINT(4.6118 101.1135),Jabatan Bomba & Penyelamat,Ipoh,Perak,4.6118,101.1135
30656,POINT(4.6118 101.1135),Jabatan Galian,Ipoh,Perak,4.6118,101.1135
30658,POINT(4.6118 101.1135),MaKmal Penyiasat Kajibumi,Ipoh,Perak,4.6118,101.1135
30660,POINT(4.6055 101.0767),Jabatan Perhutanan,Ipoh,Perak,4.6055,101.0767
30661,POINT(4.6118 101.1135),Padi & Beras Nasional (Bernas),Ipoh,Perak,4.6118,101.1135
30662,POINT(4.5957 101.1194),Jabatan Kimia,Ipoh,Perak,4.5957,101.1194
30664,POINT(4.6118 101.1135),Jabatan Perhilitan,Ipoh,Perak,4.6118,101.1135
30668,POINT(4.6118 101.1135),Jabatan BeKalan Elektrik,Ipoh,Perak,4.6118,101.1135
30670,POINT(4.6118 101.1135),Pos Malaysia Berhad,Ipoh,Perak,4.6118,101.1135
30673,POINT(4.6118 101.1135),Tenaga Nasional Berhad,Ipoh,Perak,4.6118,101.1135
30674,POINT(4.6118 101.1135),Pegawai Kemajuan Negeri,Ipoh,Perak,4.6118,101.1135
30676,POINT(4.6118 101.1135),Jabatan Agama Islam Perak,Ipoh,Perak,4.6118,101.1135
30682,POINT(4.6118 101.1135),Penyimpan Mohor Besar Raja-Raja,Ipoh,Perak,4.6118,101.1135
30690,POINT(4.6118 101.1135),Suruhanjaya Pilihan Raya Negeri,Ipoh,Perak,4.6118,101.1135
30700,POINT(4.6118 101.1135),Ipoh - Peti Surat 1 - 73,Ipoh,Perak,4.6118,101.1135
30710,POINT(4.6118 101.1135),Ipoh - Peti Surat 76 - 92,Ipoh,Perak,4.6118,101.1135
30720,POINT(4.6118 101.1135),Ipoh - Peti Surat 151 - 216,Ipoh,Perak,4.6118,101.1135
30730,POINT(4.6118 101.1135),Ipoh - Peti Surat 218 - 225,Ipoh,Perak,4.6118,101.1135
30740,POINT(4.6118 101.1135),Ipoh - Peti Surat 255 - 300,Ipoh,Perak,4.6118,101.1135
30750,POINT(4.6118 101.1135),Ipoh - Peti Surat 376 - 420,Ipoh,Perak,4.6118,101.1135
30760,POINT(4.6118 101.1135),Ipoh - Peti Surat 526 - 600,Ipoh,Perak,4.6118,101.1135
30770,POINT(4.6118 101.1135),Ipoh - Peti Surat 601 - 675,Ipoh,Perak,4.6118,101.1135
30780,POINT(4.6118 101.1135),Ipoh - Peti Surat 676 - 750,Ipoh,Perak,4.6118,101.1135
30790,POINT(4.6118 101.1135),Ipoh - Peti Surat 751 - 825,Ipoh,Perak,4.6118,101.1135
30800,POINT(4.6118 101.1135),Ipoh - Peti Surat 826 - 900,Ipoh,Perak,4.6118,101.1135
30810,POINT(4.6118 101.1135),Ipoh - Peti Surat 901 - 975,Ipoh,Perak,4.6118,101.1135
30820,POINT(4.6118 101.1135),Ipoh - Peti Surat 976 - 1050,Ipoh,Perak,4.6118,101.1135
30830,POINT(4.6118 101.1135),Ipoh - Peti Surat 1051 - 1125,Ipoh,Perak,4.6118,101.1135
30840,POINT(4.6118 101.1135),Ipoh - Peti Surat 1126 & ke atas,Ipoh,Perak,4.6118,101.1135
30900,POINT(4.6118 101.1135),Ipoh - Peti Surat 74,Ipoh,Perak,4.6118,101.1135
30902,POINT(4.6118 101.1135),Ipoh - Peti Surat 93,Ipoh,Perak,4.6118,101.1135
30904,POINT(4.6118 101.1135),Ipoh - Peti Surat 217,Ipoh,Perak,4.6118,101.1135
